info face="Pourquoi" size=64 bold=0 italic=0 charset="" unicode=0 stretchH=100 smooth=1 aa=1 padding=0,0,0,0 spacing=2,2
common lineHeight=66 base=48 scaleW=512 scaleH=512 pages=1 packed=0
page id=0 file="Pourquoi64.png"
chars count=95
char id=32     x=194   y=367   width=0     height=0     xoffset=0     yoffset=50    xadvance=32    page=0 chnl=0 letter="space"
char id=33     x=452   y=125   width=25    height=50    xoffset=6     yoffset=0     xadvance=30    page=0 chnl=0 letter="!"
char id=34     x=431   y=327   width=40    height=26    xoffset=5     yoffset=2     xadvance=53    page=0 chnl=0 letter="""
char id=35     x=398   y=230   width=51    height=46    xoffset=2     yoffset=3     xadvance=53    page=0 chnl=0 letter="#"
char id=36     x=206   y=125   width=35    height=52    xoffset=6     yoffset=-2    xadvance=37    page=0 chnl=0 letter="$"
char id=37     x=451   y=230   width=47    height=45    xoffset=4     yoffset=4     xadvance=53    page=0 chnl=0 letter="%"
char id=38     x=234   y=179   width=45    height=48    xoffset=4     yoffset=2     xadvance=53    page=0 chnl=0 letter="&"
char id=39     x=473   y=327   width=22    height=26    xoffset=14    yoffset=2     xadvance=53    page=0 chnl=0 letter="'"
char id=40     x=66    y=2     width=38    height=64    xoffset=10    yoffset=-2    xadvance=53    page=0 chnl=0 letter="("
char id=41     x=106   y=2     width=37    height=64    xoffset=8     yoffset=-2    xadvance=53    page=0 chnl=0 letter=")"
char id=42     x=354   y=327   width=31    height=31    xoffset=8     yoffset=0     xadvance=53    page=0 chnl=0 letter="*"
char id=43     x=319   y=327   width=33    height=32    xoffset=7     yoffset=11    xadvance=53    page=0 chnl=0 letter="+"
char id=44     x=2     y=367   width=19    height=22    xoffset=16    yoffset=33    xadvance=53    page=0 chnl=0 letter=","
char id=45     x=145   y=367   width=27    height=17    xoffset=12    yoffset=21    xadvance=53    page=0 chnl=0 letter="-"
char id=46     x=174   y=367   width=18    height=17    xoffset=17    yoffset=33    xadvance=53    page=0 chnl=0 letter="."
char id=47     x=478   y=179   width=32    height=48    xoffset=6     yoffset=1     xadvance=53    page=0 chnl=0 letter="/"
char id=48     x=47    y=179   width=39    height=49    xoffset=6     yoffset=1     xadvance=53    page=0 chnl=0 letter="0"
char id=49     x=328   y=179   width=37    height=48    xoffset=4     yoffset=2     xadvance=41    page=0 chnl=0 letter="1"
char id=50     x=186   y=179   width=46    height=48    xoffset=5     yoffset=2     xadvance=53    page=0 chnl=0 letter="2"
char id=51     x=411   y=125   width=39    height=50    xoffset=7     yoffset=-1    xadvance=53    page=0 chnl=0 letter="3"
char id=52     x=286   y=230   width=43    height=47    xoffset=4     yoffset=3     xadvance=53    page=0 chnl=0 letter="4"
char id=53     x=191   y=230   width=46    height=47    xoffset=5     yoffset=2     xadvance=53    page=0 chnl=0 letter="5"
char id=54     x=143   y=230   width=46    height=47    xoffset=5     yoffset=2     xadvance=53    page=0 chnl=0 letter="6"
char id=55     x=239   y=230   width=45    height=47    xoffset=4     yoffset=2     xadvance=53    page=0 chnl=0 letter="7"
char id=56     x=367   y=179   width=36    height=48    xoffset=7     yoffset=2     xadvance=53    page=0 chnl=0 letter="8"
char id=57     x=372   y=125   width=37    height=51    xoffset=6     yoffset=-1    xadvance=53    page=0 chnl=0 letter="9"
char id=58     x=163   y=327   width=22    height=37    xoffset=8     yoffset=12    xadvance=32    page=0 chnl=0 letter=":"
char id=59     x=124   y=280   width=21    height=43    xoffset=15    yoffset=14    xadvance=53    page=0 chnl=0 letter=";"
char id=60     x=91    y=280   width=31    height=43    xoffset=11    yoffset=4     xadvance=53    page=0 chnl=0 letter="<"
char id=61     x=129   y=327   width=32    height=37    xoffset=9     yoffset=6     xadvance=53    page=0 chnl=0 letter="="
char id=62     x=339   y=280   width=28    height=39    xoffset=10    yoffset=7     xadvance=53    page=0 chnl=0 letter=">"
char id=63     x=443   y=179   width=33    height=48    xoffset=10    yoffset=2     xadvance=53    page=0 chnl=0 letter="?"
